,user_id,business_id,stars,name
0,Rusha Chakraborty,0,5,Beyond Flavours
1,Anusha Tirumalaneedi,1,5,Beyond Flavours
2,Ashok Shekhawat,2,5,Beyond Flavours
3,Swapnil Sarkar,3,5,Beyond Flavours
4,Dileep,4,5,Beyond Flavours
5,Nagabhavani K,5,5,Beyond Flavours
6,Jamuna Bhuwalka,6,5,Beyond Flavours
7,Sandhya S,7,4,Beyond Flavours
8,Akash Thorat,8,5,Beyond Flavours
9,Smarak Patnaik,9,5,Beyond Flavours
10,Saubhagya Bhuyan,10,5,Beyond Flavours
11,Srivaths07,11,5,Beyond Flavours
12,Kunj Mishra,12,5,Beyond Flavours
13,Pradeep Vetapalem,13,5,Beyond Flavours
14,Kankaria.ritu,14,1,Beyond Flavours
15,Abhay Sharma,15,5,Beyond Flavours
16,Shubham Jaiswal,16,4,Beyond Flavours
17,Srijani Mukherjee,17,5,Beyond Flavours
18,Hari Jangam,18,5,Beyond Flavours
19,Suneet Soni,19,5,Beyond Flavours
20,Little Chef Chika,20,5,Beyond Flavours
21,Sneha Munigela,21,4,Beyond Flavours
22,Sneha Sarkar,22,4,Beyond Flavours
23,Tony,23,5,Beyond Flavours
24,Amritap Datta,24,5,Beyond Flavours
25,Imteja7,25,5,Beyond Flavours
26,Nisha Gahlawat,26,5,Beyond Flavours
27,Dharini Hombal,27,5,Beyond Flavours
28,Ankita Sinha,28,5,Beyond Flavours
29,Ppck2412,29,4,Beyond Flavours
30,Pragya Sarda,30,3,Beyond Flavours
31,Anindya,31,5,Beyond Flavours
32,Santhosh Reddyy,32,5,Beyond Flavours
33,Piyali Mahapatra,33,5,Beyond Flavours
34,Mehak Malhotra,34,5,Beyond Flavours
35,Pradeep Kumar Gupta,35,5,Beyond Flavours
36,Shubham Singh Chauhan,36,5,Beyond Flavours
37,Prerna Mund,37,5,Beyond Flavours
38,Pranith Patro,38,5,Beyond Flavours
39,Sai Raj Kiran,39,4,Beyond Flavours
40,Razeen,40,5,Beyond Flavours
41,Prasanna,41,5,Beyond Flavours
42,Jeevith Reddy,42,4,Beyond Flavours
43,Sugandha Saxena,43,4,Beyond Flavours
44,Singh.ibm,44,5,Beyond Flavours
45,Sind Hu,45,3,Beyond Flavours
46,Sameer Singh,46,4,Beyond Flavours
47,Jaya Phaneendra,47,5,Beyond Flavours
48,Gokulnath Kunjumon,48,5,Beyond Flavours
49,Raj Verma,49,5,Beyond Flavours
50,AKANKSHA GAIKWAD,50,5,Beyond Flavours
51,Divyakant,51,5,Beyond Flavours
52,Anisha Rajput,52,5,Beyond Flavours
53,Chaitanya Patwari,53,5,Beyond Flavours
54,Hasini1998,54,5,Beyond Flavours
55,Catherene Clement,55,5,Beyond Flavours
56,Dyagamrahul,56,3,Beyond Flavours
57,Malleshwari Seelam,57,4,Beyond Flavours
58,Vibhor Joshi,58,5,Beyond Flavours
59,Vikas Raikwar,59,4,Beyond Flavours
60,Snigdha Jidigam,60,5,Beyond Flavours
61,Tatarao Vana,61,5,Beyond Flavours
62,Oblesh J,62,5,Beyond Flavours
63,Sharmistha Kamat,63,5,Beyond Flavours
64,Monika,64,4,Beyond Flavours
65,Hemant Bissa,65,5,Beyond Flavours
66,Tejaswi Rao,66,1,Beyond Flavours
67,Satyajit Sarangi,67,5,Beyond Flavours
68,Gautam Dev,68,5,Beyond Flavours
69,Paridhi Mittal,69,5,Beyond Flavours
70,Sathya K,70,5,Beyond Flavours
71,Rashmi Prasad,71,5,Beyond Flavours
72,Shopharsh29,72,5,Beyond Flavours
73,Saswati Kar Choudhury,73,3,Beyond Flavours
74,Manish Reddy,74,4,Beyond Flavours
75,Mudit,75,2,Beyond Flavours
76,Susmitha Penisetti,76,3,Beyond Flavours
77,Tanmayee Manchiraju,77,5,Beyond Flavours
78,Sunil.bollineni,78,5,Beyond Flavours
79,Vignesh Rk,79,1,Beyond Flavours
80,Surya Sharma,80,1,Beyond Flavours
81,Spandhana.hr,81,5,Beyond Flavours
82,Manab Maji,82,5,Beyond Flavours
83,Parshwa Shah,83,2,Beyond Flavours
84,Sreshta Ladegaam,84,1,Beyond Flavours
85,Kiron Kshetrapal,85,5,Beyond Flavours
86,Navneet Raj,86,5,Beyond Flavours
87,Debapriya Chhotray,87,5,Beyond Flavours
